* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Aug 2 2023 08:20:03

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, BG121

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, not used, , , , , , topBank
A2, PIO, not used, , , , , , topBank
A3, PIO, not used, , , , , , topBank
A4, PIO, not used, , , , , , topBank
A5, PIO, not used, , , , , , topBank
A6, PIO, not used, , , , , , topBank
A7, PIO, not used, , , , , , topBank
A8, PIO, not used, , , , , , topBank
A9, PIO, not used, , , , , , topBank
A10, PIO, not used, , , , , , topBank
A11, PIO, not used, , , , , , topBank
B1, PIO, not used, , , , , , leftBank
B2, PIO, row_completed, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B3, PIO, not used, , , , , , topBank
B4, PIO, not used, , , , , , topBank
B5, PIO, not used, , , , , , topBank
B6, PIO_GBIN, not used, , , , , , topBank
B7, PIO_GBIN, not used, , , , , , topBank
B8, PIO, not used, , , , , , topBank
B9, PIO, not used, , , , , , topBank
B10, VPP_DIRECT, not used, , , , , , UnknownBank
B11, PIO, not used, , , , , , rightBank
C1, PIO, en_rowpack, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
C2, PIO, not used, , , , , , leftBank
C3, PIO, divide_enable, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
C4, PIO, not used, , , , , , leftBank
C5, AGND_TOP, not used, , , , , , UnknownBank
C6, AVDD_TOP, not used, , , , , , UnknownBank
C7, PIO, not used, , , , , , topBank
C8, PIO, not used, , , , , , topBank
C9, PIO, not used, , , , , , topBank
C10, VPP_PUMP, not used, , , , , , UnknownBank
C11, PIO, not used, , , , , , rightBank
D1, PIO, not used, , , , , , leftBank
D2, PIO, not used, , , , , , leftBank
D3, PIO, not used, , , , , , leftBank
D4, VCC, not used, , , , , , UnknownBank
D5, PIO, not used, , , , , , topBank
D6, VCCIO_0, not used, , , , , , topBank
D7, PIO, not used, , , , , , topBank
D8, VCC, not used, , , , , , UnknownBank
D9, PIO, not used, , , , , , rightBank
D10, PIO, not used, , , , , , rightBank
D11, PIO, not used, , , , , , rightBank
E1, PIO, constant_v, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
E2, PIO, not used, , , , , , leftBank
E3, PIO, en_internals, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
E4, VCCIO_3, not used, , , , , , leftBank
E5, GND, not used, , , , , , UnknownBank
E6, GND, not used, , , , , , UnknownBank
E7, GND, not used, , , , , , UnknownBank
E8, PIO, not used, , , , , , rightBank
E9, PIO, not used, , , , , , rightBank
E10, PIO_GBIN, not used, , , , , , rightBank
E11, PIO, not used, , , , , , rightBank
F1, PIO, not used, , , , , , leftBank
F2, PIO, not used, , , , , , leftBank
F3, PIO_GBIN, laser_pulse, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
F4, PIO, not used, , , , , , leftBank
F5, GND, not used, , , , , , UnknownBank
F6, GND, not used, , , , , , UnknownBank
F7, GND, not used, , , , , , UnknownBank
F8, VCCIO_1, not used, , , , , , rightBank
F9, PIO, not used, , , , , , rightBank
F10, PIO, not used, , , , , , rightBank
F11, PIO_GBIN, not used, , , , , , rightBank
G1, PIO_GBIN, sr_clk, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
G2, PIO, divided_pulse, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
G3, PIO, sr_reset, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
G4, VCCIO_3, not used, , , , , , leftBank
G5, GND, not used, , , , , , UnknownBank
G6, GND, not used, , , , , , UnknownBank
G7, GND, not used, , , , , , UnknownBank
G8, PIO, not used, , , , , , rightBank
G9, PIO, not used, , , , , , rightBank
G10, PIO, not used, , , , , , rightBank
G11, PIO, not used, , , , , , rightBank
H1, PIO, sr_sel_row, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
H2, PIO, not used, , , , , , leftBank
H3, PIO, not used, , , , , , leftBank
H4, VCC, not used, , , , , , UnknownBank
H5, GND, not used, , , , , , UnknownBank
H6, VCCIO_2, not used, , , , , , bottomBank
H7, PIO, not used, , , , , , bottomBank
H8, VCC, not used, , , , , , UnknownBank
H9, PIO, not used, , , , , , bottomBank
H10, PIO, not used, , , , , , rightBank
H11, PIO, not used, , , , , , rightBank
J1, PIO, not used, , , , , , leftBank
J2, PIO, sr_sel_div, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
J3, PIO, not used, , , , , , bottomBank
J4, PIO, not used, , , , , , bottomBank
J5, PIO, not used, , , , , , bottomBank
J6, AVDD_BOT, not used, , , , , , UnknownBank
J7, PIO, not used, , , , , , bottomBank
J8, PIO, not used, , , , , , bottomBank
J9, SPI_SI, not used, , , , , , bottomBank
J10, PIO, not used, , , , , , rightBank
J11, PIO, not used, , , , , , rightBank
K1, PIO, sr_data, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
K2, PIO, not used, , , , , , leftBank
K3, PIO, not used, , , , , , bottomBank
K4, PIO, not used, , , , , , bottomBank
K5, PIO, not used, , , , , , bottomBank
K6, PIO_GBIN, not used, , , , , , bottomBank
K7, PIO, not used, , , , , , bottomBank
K8, CDONE, not used, , , , , , bottomBank
K9, SPI_SO, not used, , , , , , bottomBank
K10, SPI_SS_B, not used, , , , , , bottomBank
K11, PIO, not used, , , , , , rightBank
L1, PIO, not used, , , , , , bottomBank
L2, PIO, not used, , , , , , bottomBank
L3, PIO, not used, , , , , , bottomBank
L4, PIO, not used, , , , , , bottomBank
L5, PIO_GBIN, not used, , , , , , bottomBank
L6, AGND_BOT, not used, , , , , , UnknownBank
L7, PIO, not used, , , , , , bottomBank
L8, PIO, not used, , , , , , bottomBank
L9, CRESET_B, not used, , , , , , bottomBank
L10, SPI_SCK, not used, , , , , , bottomBank
L11, VDDIO_SPI, not used, , , , , , bottomBank
Total Number of Used Pins, 12
